Name	Value	Time
txRejected-average	0	2020-01-30T21:21:52.053Z
txRejected-total	0	2020-01-30T21:21:52.053Z
txExpired-average	0	2020-01-30T21:21:52.053Z
txExpired-total	0	2020-01-30T21:21:52.053Z
txProcessed-average	0	2020-01-30T21:21:52.053Z
txProcessed-total	0	2020-01-30T21:21:52.053Z
queueLength-average	0	2020-01-30T21:21:52.053Z
queueLength-value	0	2020-01-30T21:21:52.053Z
serverLoad-average	0	2020-01-30T21:21:52.053Z
serverLoad-value	0	2020-01-30T21:21:52.053Z
txTimeInQueue-average	0	2020-01-30T21:21:52.053Z
txInjected-average	0.1	2020-01-30T21:21:53.053Z
txInjected-total	2	2020-01-30T21:21:53.053Z
txApplied-average	0	2020-01-30T21:21:53.053Z
txApplied-total	0	2020-01-30T21:21:53.053Z
txRejected-average	0	2020-01-30T21:21:53.053Z
txRejected-total	0	2020-01-30T21:21:53.053Z
txExpired-average	0	2020-01-30T21:21:53.053Z
txExpired-total	0	2020-01-30T21:21:53.053Z
txProcessed-average	0	2020-01-30T21:21:53.053Z
txProcessed-total	0	2020-01-30T21:21:53.053Z
queueLength-average	0.1	2020-01-30T21:21:53.053Z
queueLength-value	2	2020-01-30T21:21:53.053Z
serverLoad-average	0	2020-01-30T21:21:53.053Z
serverLoad-value	0	2020-01-30T21:21:53.053Z
txTimeInQueue-average	0.00045	2020-01-30T21:21:53.053Z
txInjected-average	0.09523809523809523	2020-01-30T21:21:54.054Z
txInjected-total	2	2020-01-30T21:21:54.054Z
txApplied-average	0	2020-01-30T21:21:54.054Z
txApplied-total	0	2020-01-30T21:21:54.054Z
txRejected-average	0	2020-01-30T21:21:54.054Z
txRejected-total	0	2020-01-30T21:21:54.054Z
txExpired-average	0	2020-01-30T21:21:54.054Z
txExpired-total	0	2020-01-30T21:21:54.054Z
txProcessed-average	0	2020-01-30T21:21:54.054Z
txProcessed-total	0	2020-01-30T21:21:54.054Z
queueLength-average	0.19047619047619047	2020-01-30T21:21:54.054Z
queueLength-value	2	2020-01-30T21:21:54.054Z
serverLoad-average	0.00009523809523809524	2020-01-30T21:21:54.054Z
serverLoad-value	0.002	2020-01-30T21:21:54.054Z
txTimeInQueue-average	0.048523809523809525	2020-01-30T21:21:54.054Z
txInjected-average	0.09090909090909091	2020-01-30T21:21:55.055Z
txInjected-total	2	2020-01-30T21:21:55.055Z
txApplied-average	0	2020-01-30T21:21:55.055Z
txApplied-total	0	2020-01-30T21:21:55.055Z
txRejected-average	0	2020-01-30T21:21:55.055Z
txRejected-total	0	2020-01-30T21:21:55.055Z
txExpired-average	0	2020-01-30T21:21:55.055Z
txExpired-total	0	2020-01-30T21:21:55.055Z
txProcessed-average	0	2020-01-30T21:21:55.055Z
txProcessed-total	0	2020-01-30T21:21:55.055Z
queueLength-average	0.2727272727272727	2020-01-30T21:21:55.055Z
queueLength-value	2	2020-01-30T21:21:55.055Z
serverLoad-average	0.00023795093795093796	2020-01-30T21:21:55.055Z
serverLoad-value	0.003234920634920635	2020-01-30T21:21:55.055Z
txTimeInQueue-average	0.13772727272727273	2020-01-30T21:21:55.055Z
txInjected-average	0.08695652173913043	2020-01-30T21:21:56.056Z
txInjected-total	2	2020-01-30T21:21:56.056Z
txApplied-average	0	2020-01-30T21:21:56.056Z
