Name	Value	Time
txExpired-total	0	2019-12-25T00:43:07.745Z
txProcessed-average	0	2019-12-25T00:43:07.745Z
txProcessed-total	0	2019-12-25T00:43:07.745Z
queueLength-average	0	2019-12-25T00:43:07.745Z
queueLength-value	0	2019-12-25T00:43:07.745Z
serverLoad-average	0	2019-12-25T00:43:07.745Z
serverLoad-value	0	2019-12-25T00:43:07.745Z
txTimeInQueue-average	0	2019-12-25T00:43:07.745Z
txInjected-average	0	2019-12-25T00:43:08.751Z
txInjected-total	0	2019-12-25T00:43:08.751Z
txApplied-average	0	2019-12-25T00:43:08.751Z
txApplied-total	0	2019-12-25T00:43:08.751Z
txRejected-average	0	2019-12-25T00:43:08.751Z
txRejected-total	0	2019-12-25T00:43:08.751Z
txExpired-average	0	2019-12-25T00:43:08.751Z
txExpired-total	0	2019-12-25T00:43:08.751Z
txProcessed-average	0	2019-12-25T00:43:08.751Z
txProcessed-total	0	2019-12-25T00:43:08.751Z
queueLength-average	0	2019-12-25T00:43:08.751Z
queueLength-value	0	2019-12-25T00:43:08.751Z
serverLoad-average	0	2019-12-25T00:43:08.751Z
serverLoad-value	0	2019-12-25T00:43:08.751Z
txTimeInQueue-average	0	2019-12-25T00:43:08.751Z
txInjected-average	0	2019-12-25T00:43:09.753Z
txInjected-total	0	2019-12-25T00:43:09.753Z
txApplied-average	0	2019-12-25T00:43:09.753Z
txApplied-total	0	2019-12-25T00:43:09.753Z
txRejected-average	0	2019-12-25T00:43:09.753Z
txRejected-total	0	2019-12-25T00:43:09.753Z
txExpired-average	0	2019-12-25T00:43:09.753Z
txExpired-total	0	2019-12-25T00:43:09.753Z
txProcessed-average	0	2019-12-25T00:43:09.753Z
txProcessed-total	0	2019-12-25T00:43:09.753Z
queueLength-average	0	2019-12-25T00:43:09.753Z
queueLength-value	0	2019-12-25T00:43:09.753Z
serverLoad-average	0	2019-12-25T00:43:09.753Z
serverLoad-value	0	2019-12-25T00:43:09.753Z
txTimeInQueue-average	0	2019-12-25T00:43:09.753Z
txInjected-average	0	2019-12-25T00:43:10.767Z
txInjected-total	0	2019-12-25T00:43:10.767Z
txApplied-average	0	2019-12-25T00:43:10.767Z
txApplied-total	0	2019-12-25T00:43:10.767Z
txRejected-average	0	2019-12-25T00:43:10.767Z
txRejected-total	0	2019-12-25T00:43:10.767Z
txExpired-average	0	2019-12-25T00:43:10.767Z
txExpired-total	0	2019-12-25T00:43:10.767Z
txProcessed-average	0	2019-12-25T00:43:10.767Z
txProcessed-total	0	2019-12-25T00:43:10.767Z
queueLength-average	0	2019-12-25T00:43:10.767Z
queueLength-value	0	2019-12-25T00:43:10.767Z
serverLoad-average	0	2019-12-25T00:43:10.767Z
serverLoad-value	0	2019-12-25T00:43:10.767Z
txTimeInQueue-average	0	2019-12-25T00:43:10.767Z
txInjected-average	0	2019-12-25T00:43:11.769Z
txInjected-total	0	2019-12-25T00:43:11.769Z
txApplied-average	0	2019-12-25T00:43:11.769Z
txApplied-total	0	2019-12-25T00:43:11.769Z
txRejected-average	0	2019-12-25T00:43:11.769Z
txRejected-total	0	2019-12-25T00:43:11.769Z
txExpired-average	0	2019-12-25T00:43:11.769Z
txExpired-total	0	2019-12-25T00:43:11.769Z
txProcessed-average	0	2019-12-25T00:43:11.769Z
txProcessed-total	0	2019-12-25T00:43:11.769Z
queueLength-average	0	2019-12-25T00:43:11.769Z
queueLength-value	0	2019-12-25T00:43:11.769Z
serverLoad-average	0	2019-12-25T00:43:11.769Z
serverLoad-value	0	2019-12-25T00:43:11.769Z
txTimeInQueue-average	0	2019-12-25T00:43:11.769Z
txInjected-average	0	2019-12-25T00:43:12.772Z
txInjected-total	0	2019-12-25T00:43:12.772Z
txApplied-average	0	2019-12-25T00:43:12.772Z
txApplied-total	0	2019-12-25T00:43:12.772Z
txRejected-average	0	2019-12-25T00:43:12.772Z
txRejected-total	0	2019-12-25T00:43:12.772Z
txExpired-average	0	2019-12-25T00:43:12.772Z
txExpired-total	0	2019-12-25T00:43:12.772Z
txProcessed-average	0	2019-12-25T00:43:12.772Z
txProcessed-total	0	2019-12-25T00:43:12.772Z
queueLength-average	0	2019-12-25T00:43:12.772Z
queueLength-value	0	2019-12-25T00:43:12.772Z
serverLoad-average	0	2019-12-25T00:43:12.772Z
serverLoad-value	0	2019-12-25T00:43:12.772Z
txTimeInQueue-average	0	2019-12-25T00:43:12.772Z
txInjected-average	0	2019-12-25T00:43:13.777Z
txInjected-total	0	2019-12-25T00:43:13.777Z
